,Average_Number_of_Simultaneous_Pitch_Classes,Variability_of_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Variability_of_Number_of_Simultaneous_Pitches,Most_Common_Vertical_Interval,Second_Most_Common_Vertical_Interval,Distance_Between_Two_Most_Common_Vertical_Intervals,Prevalence_of_Most_Common_Vertical_Interval,Prevalence_of_Second_Most_Common_Vertical_Interval,Prevalence_Ratio_of_Two_Most_Common_Vertical_Intervals,Vertical_Unisons,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Perfect_Vertical_Intervals,Vertical_Dissonance_Ratio,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Partial_Chords,Standard_Triads,Diminished_and_Augmented_Triads,Dominant_Seventh_Chords,Seventh_Chords,Non-Standard_Chords,Complex_Chords,Minor_Major_Triad_Ratio
"seed279_sigma1.26_N19_20260128_204527/3_SCL_seed279_sigma1.26_N19_20260128_204527.mid",3.5, 0.5003, 3.5, 0.5003, 3.0, 4.0, 1.0, 0.2778, 0.1667, 0.6, 0.0, 0.0, 0.4444, 0.05556, 0.1111, 0.1667, 0.1111, 0.0, 0.0, 0.2778, 0.2, 1.0, 0.75, 0.0, 0.5, 0.0, 0.25, 0.5, 0.0, 0.0, 1.0
"seed279_sigma1.26_N19_20260128_204527/6_SCL_seed279_sigma1.26_N19_20260128_204527.mid",4.0, 0.0, 4.0, 0.0, 3.0, 2.0, 1.0, 0.2917, 0.125, 0.4286, 0.0, 0.0, 0.375, 0.08333, 0.125, 0.125, 0.125, 0.04167, 0.0, 0.25, 0.3333, 1.0, 0.5, 0.0, 0.0, 0.0, 0.5, 1.0, 0.0, 0.0, 0.0
"seed279_sigma1.26_N19_20260128_204527/4_SCL_seed279_sigma1.26_N19_20260128_204527.mid",4.0, 1.225, 4.0, 1.225, 2.0, 5.0, 3.0, 0.1852, 0.1852, 1.0, 0.0, 0.0, 0.2593, 0.03704, 0.1852, 0.1111, 0.1852, 0.03704, 0.0, 0.2963, 0.35, 0.75, 0.75, 0.0, 0.5, 0.0, 0.25, 0.25, 0.25, 0.25, 0.0
"seed279_sigma1.26_N19_20260128_204527/1_SCL_seed279_sigma1.26_N19_20260128_204527.mid",3.75, 0.4333, 3.75, 0.4333, 3.0, 4.0, 1.0, 0.1905, 0.1905, 1.0, 0.0, 0.09524, 0.381, 0.0, 0.1429, 0.1905, 0.1429, 0.0, 0.0, 0.3333, 0.1667, 1.0, 1.0, 0.0, 0.25, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0
"seed279_sigma1.26_N19_20260128_204527/5_SCL_seed279_sigma1.26_N19_20260128_204527.mid",3.75, 0.4333, 3.75, 0.4333, 3.0, 4.0, 1.0, 0.1905, 0.1905, 1.0, 0.0, 0.09524, 0.381, 0.0, 0.1429, 0.1905, 0.1429, 0.0, 0.0, 0.3333, 0.1667, 1.0, 1.0, 0.0, 0.25, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0
"seed279_sigma1.26_N19_20260128_204527/2_SCL_seed279_sigma1.26_N19_20260128_204527.mid",3.75, 0.4333, 3.75, 0.4333, 3.0, 4.0, 1.0, 0.2857, 0.1429, 0.5, 0.0, 0.0, 0.4286, 0.1429, 0.04762, 0.1429, 0.09524, 0.04762, 0.0, 0.1905, 0.4, 1.0, 0.75, 0.0, 0.25, 0.0, 0.75, 0.75, 0.0, 0.0, 0.0
"seed279_sigma1.0_N5_20260128_113322/3_SCL_seed279_sigma1.0_N5_20260128_113322.mid",3.25, 0.4333, 3.25, 0.4333, 3.0, 4.0, 1.0, 0.3333, 0.2, 0.6, 0.0, 0.06667, 0.5333, 0.06667, 0.06667, 0.1333, 0.06667, 0.0, 0.0, 0.2, 0.25, 1.0, 0.75, 0.0, 0.75, 0.0, 0.0, 0.0, 0.25, 0.0, 0.5
"seed279_sigma1.0_N5_20260128_113322/6_SCL_seed279_sigma1.0_N5_20260128_113322.mid",3.25, 0.4333, 3.25, 0.4333, 3.0, 4.0, 1.0, 0.3333, 0.2, 0.6, 0.0, 0.06667, 0.5333, 0.06667, 0.06667, 0.1333, 0.06667, 0.0, 0.0, 0.2, 0.25, 1.0, 0.75, 0.0, 0.75, 0.0, 0.0, 0.0, 0.25, 0.0, 0.5
"seed279_sigma1.0_N5_20260128_113322/4_SCL_seed279_sigma1.0_N5_20260128_113322.mid",3.25, 0.4333, 3.25, 0.4333, 3.0, 4.0, 1.0, 0.3333, 0.2, 0.6, 0.0, 0.06667, 0.5333, 0.06667, 0.06667, 0.1333, 0.06667, 0.0, 0.0, 0.2, 0.25, 1.0, 0.75, 0.0, 0.75, 0.0, 0.0, 0.0, 0.25, 0.0, 0.5
"seed279_sigma1.0_N5_20260128_113322/1_SCL_seed279_sigma1.0_N5_20260128_113322.mid",3.25, 0.4333, 3.25, 0.4333, 3.0, 4.0, 1.0, 0.3333, 0.2, 0.6, 0.0, 0.06667, 0.5333, 0.06667, 0.06667, 0.1333, 0.06667, 0.0, 0.0, 0.2, 0.25, 1.0, 0.75, 0.0, 0.75, 0.0, 0.0, 0.0, 0.25, 0.0, 0.5
