pair,condition,chord_overlap_ratio,chord_jaccard,chord_edit_distance,length_ratio,tonal_consistency,relatedness_composite
00001,SCL,0.7499999999999999,0.425,1.0,1.0,0.5,0.535
00001,Human,1.0,0.8125,0.75,1.0,1.0,0.8125
00002,SCL,0.5952380952380952,0.3476190476190476,1.0,1.0,0.6666666666666667,0.5219047619047619
00002,Human,0.8095238095238094,0.730952380952381,0.25,0.875,1.0,0.8330952380952381
00003,SCL,0.75,0.5,1.0,1.0,1.0,0.65
00003,Human,0.41666666666666663,0.35,0.4,0.8,1.0,0.6333333333333333
00004,SCL,0.5833333333333333,0.4583333333333333,0.75,1.0,0.33333333333333337,0.525
00004,Human,0.49999999999999994,0.39166666666666666,0.3333333333333333,0.6666666666666666,0.5,0.545
00005,SCL,0.41666666666666663,0.24999999999999997,1.0,1.0,1.0,0.5333333333333334
00005,Human,0.9166666666666666,0.5333333333333333,1.0,1.0,1.0,0.6900000000000001
00006,SCL,0.6666666666666666,0.47916666666666663,1.0,1.0,1.0,0.6291666666666667
00006,Human,0.5833333333333334,0.3416666666666667,1.0,1.0,1.0,0.585
