epoch,total_loss,recon_loss,kl_loss
1,22935.16,22888.29,468.72
2,17834.51,17721.96,1125.47
3,15728.89,15593.88,1350.09
4,14087.89,13865.07,2228.19
5,12760.23,12424.08,3361.52
6,11723.42,11283.4,4400.24
7,10885.15,10357.32,5278.31
8,10161.28,9570.5,5907.73
9,9594.87,8944.62,6502.49
10,9053.09,8339.94,7131.5
11,8649.12,7896.64,7524.81
12,8213.97,7388.86,8251.12
13,7866.29,7016.79,8495.02
14,7512.05,6635.01,8770.45
15,7187.47,6276.42,9110.57
16,6922.94,6006.66,9162.81
17,6622.94,5661.96,9609.79
18,6320.9,5363.38,9575.25
19,6131.11,5144.24,9868.68
20,5895.87,4903.47,9924.02
21,5593.87,4595.77,9981.06
22,5450.78,4440.34,10104.41
23,5322.47,4294.18,10282.83
24,5088.93,4055.1,10338.31
25,4942.64,3911.11,10315.31
26,4799.72,3749.74,10499.74
27,4629.82,3576.5,10533.18
28,4481.83,3435.94,10458.84
29,4394.0,3321.38,10726.17
30,4255.84,3195.97,10598.62
31,4183.85,3107.79,10760.61
32,4075.53,2999.84,10756.84
33,3954.0,2880.34,10736.58
34,3890.12,2799.42,10907.02
35,3829.08,2720.49,11085.85
36,3671.5,2570.74,11007.65
37,3606.02,2511.4,10946.19
38,3576.64,2471.05,11055.89
39,3494.3,2393.15,11011.48
40,3427.49,2315.35,11121.34
41,3339.9,2233.91,11059.92
42,3279.95,2153.96,11259.88
43,3245.29,2117.45,11278.37
44,3206.79,2085.73,11210.68
45,3130.28,1984.94,11453.31
46,3033.79,1928.24,11055.49
47,2928.7,1831.81,10968.92
48,2943.15,1841.84,11013.04
49,2968.6,1822.77,11458.28
50,2869.56,1748.64,11209.2
51,2788.85,1669.09,11197.57
52,2748.48,1634.93,11135.44
53,2764.72,1634.57,11301.46
54,2701.62,1568.48,11331.38
55,2661.53,1548.09,11134.46
56,2623.78,1488.91,11348.69
57,2613.67,1487.54,11261.3
58,2596.24,1462.7,11335.49
59,2552.47,1416.47,11359.99
60,2582.62,1438.8,11438.21
61,2469.6,1350.36,11192.41
62,2453.15,1316.61,11365.39
63,2427.08,1302.98,11241.07
64,2373.16,1251.47,11216.91
65,2394.27,1261.3,11329.72
66,2338.59,1194.97,11436.18
67,2268.57,1170.22,10983.52
68,2334.19,1215.99,11182.03
69,2282.43,1167.43,11150.03
70,2351.99,1222.73,11292.56
71,2327.87,1195.31,11325.63
72,2250.37,1124.7,11256.73
73,2192.96,1064.96,11280.01
74,2180.22,1066.15,11140.61
75,2176.27,1050.91,11253.56
76,2174.02,1055.25,11187.67
77,2133.02,1027.19,11058.34
78,2130.94,1020.58,11103.58
79,2081.0,972.86,11081.48
80,2147.87,1018.06,11298.1
81,2105.02,962.09,11429.28
82,2044.54,926.36,11181.85
83,2041.23,930.27,11109.6
84,2034.96,913.45,11215.12
85,2048.92,914.15,11347.76
86,2004.29,870.48,11338.13
87,2001.75,883.08,11186.63
88,2030.3,887.61,11426.9
89,1971.61,830.22,11413.83
90,1967.78,862.16,11056.21
91,1967.98,854.4,11135.79
92,1950.9,856.65,10942.47
93,1969.96,863.39,11065.79
94,1939.76,813.8,11259.59
95,1876.77,775.7,11010.69
96,1846.42,752.99,10934.28
97,1858.69,767.94,10907.48
98,1880.74,755.61,11251.33
99,1866.79,757.81,11089.81
100,1863.67,748.3,11153.69
101,1831.7,717.15,11145.44
102,1884.04,767.23,11168.08
103,1882.22,751.93,11302.91
104,1813.47,693.83,11196.46
105,1835.85,736.07,10997.86
106,1773.2,676.95,10962.46
107,1854.54,743.67,11108.69
108,1855.15,728.3,11268.46
109,1807.46,695.98,11114.84
110,1762.36,671.06,10913.02
111,1795.21,664.71,11305.0
112,1807.37,699.29,11080.79
113,1783.89,676.58,11073.06
114,1806.77,701.59,11051.8
115,1783.34,656.98,11263.54
116,1804.85,675.22,11296.35
117,1756.07,619.86,11362.07
118,1748.45,634.21,11142.41
119,1754.31,641.96,11123.44
120,1743.33,649.27,10940.61
121,1730.3,633.4,10969.06
122,1810.74,690.48,11202.59
123,1736.59,604.99,11315.99
124,1685.99,565.35,11206.49
125,1720.99,614.43,11065.61
126,1692.7,590.61,11020.88
127,1709.06,603.28,11057.88
128,1627.48,540.62,10868.56
129,1658.03,581.41,10766.13
130,1683.49,597.88,10856.05
131,1693.87,595.72,10981.49
132,1674.38,579.71,10946.76
133,1728.78,600.82,11279.59
134,1654.45,545.68,11087.67
135,1605.52,508.9,10966.23
136,1675.19,573.22,11019.76
137,1698.16,578.31,11198.5
138,1685.21,572.9,11123.16
139,1542.32,473.28,10690.36
140,1643.83,561.25,10825.85
141,1581.08,492.32,10887.56
142,1627.91,539.15,10887.54
143,1668.25,556.12,11121.29
144,1691.29,573.94,11173.56
145,1585.99,479.56,11064.37
146,1607.18,525.47,10817.06
147,1622.43,517.41,11050.19
148,1616.22,519.65,10965.68
149,1607.69,507.1,11005.87
150,1581.51,501.6,10799.04
151,1620.61,528.03,10925.81
152,1613.95,507.7,11062.51
153,1668.68,551.88,11168.03
154,1601.81,499.98,11018.35
155,1517.52,443.31,10742.15
156,1602.16,507.39,10947.68
157,1666.13,534.32,11318.12
158,1596.22,478.29,11179.31
159,1591.86,492.42,10994.35
160,1526.2,437.82,10883.79
161,1596.69,501.06,10956.32
162,1517.71,443.6,10741.15
163,1552.43,481.93,10705.01
164,1596.34,510.43,10859.06
165,1514.75,444.85,10699.05
166,1615.91,534.51,10813.99
167,1528.7,433.65,10950.5
168,1567.72,471.16,10965.68
169,1626.7,505.83,11208.66
170,1511.79,422.05,10897.34
171,1510.23,436.14,10740.9
172,1580.01,495.21,10847.91
173,1542.02,466.08,10759.35
174,1565.32,479.67,10856.48
175,1567.94,473.79,10941.5
176,1565.61,465.49,11001.22
177,1543.3,460.3,10829.97
178,1574.25,483.19,10910.6
179,1524.36,432.24,10921.19
180,1506.16,429.58,10765.76
181,1510.99,437.7,10732.86
182,1531.9,443.05,10888.47
183,1520.8,427.61,10931.85
184,1494.01,416.08,10779.27
185,1512.51,434.07,10784.35
186,1498.34,415.13,10832.11
187,1538.62,458.64,10799.72
188,1506.15,422.93,10832.15
189,1456.55,387.09,10694.6
190,1495.89,430.92,10649.71
191,1524.87,446.76,10781.07
192,1506.11,426.1,10800.19
193,1497.13,419.26,10778.68
194,1488.5,424.9,10635.99
195,1568.21,477.66,10905.5
196,1539.94,438.07,11018.73
197,1506.29,423.67,10826.23
198,1527.59,449.25,10783.49
199,1518.98,429.37,10896.11
200,1453.01,367.88,10851.24
201,1442.46,384.62,10578.37
202,1468.28,397.52,10707.59
203,1499.11,439.01,10601.07
204,1472.89,400.42,10724.73
205,1472.07,401.23,10708.45
206,1495.1,413.96,10811.47
207,1540.34,448.59,10917.46
208,1474.17,380.41,10937.59
209,1437.17,360.88,10762.86
210,1517.08,435.68,10813.97
211,1482.92,391.66,10912.67
212,1459.31,387.6,10717.08
213,1444.82,382.91,10619.08
214,1485.25,415.23,10700.17
215,1499.1,418.26,10808.45
216,1465.26,382.67,10825.92
217,1497.49,402.09,10954.0
218,1424.87,347.28,10775.9
219,1428.32,346.77,10815.51
220,1447.44,375.16,10722.84
221,1474.75,405.29,10694.6
222,1514.29,424.68,10896.04
223,1468.2,400.35,10678.51
224,1522.5,436.59,10859.08
225,1437.16,359.41,10777.54
226,1463.06,390.72,10723.41
227,1441.08,381.77,10593.04
228,1460.33,390.53,10698.08
229,1457.01,385.38,10716.28
230,1523.75,426.63,10971.24
231,1466.56,365.92,11006.43
232,1431.9,359.07,10728.33
233,1476.59,404.64,10719.55
234,1462.01,399.34,10626.68
235,1442.04,356.88,10851.59
236,1393.05,321.81,10712.37
237,1381.91,341.95,10399.65
238,1415.31,371.68,10436.26
239,1459.82,380.39,10794.31
240,1447.47,397.6,10498.61
241,1474.5,399.2,10752.99
242,1465.64,388.44,10771.95
243,1456.25,387.99,10682.64
244,1459.25,374.92,10843.39
245,1474.97,379.67,10953.02
246,1467.22,371.66,10955.55
247,1463.29,369.87,10934.23
248,1407.16,343.51,10636.5
249,1449.59,376.88,10727.08
250,1430.83,367.52,10633.09
251,1389.05,333.13,10559.14
252,1415.54,363.1,10524.41
253,1447.86,374.47,10733.9
254,1504.87,423.75,10811.29
255,1449.38,350.06,10993.19
256,1463.56,383.03,10805.26
257,1423.27,338.54,10847.36
258,1385.15,327.76,10573.83
259,1421.97,357.94,10640.36
260,1374.23,314.71,10595.16
261,1414.64,366.77,10478.76
262,1447.88,376.46,10714.18
263,1455.72,377.7,10780.26
264,1437.85,358.34,10795.16
265,1477.24,400.22,10770.28
266,1448.33,369.42,10789.1
267,1423.11,352.53,10705.87
268,1492.82,411.65,10811.66
269,1423.13,352.0,10711.35
270,1438.73,369.16,10695.75
271,1445.82,383.53,10622.9
272,1437.03,364.82,10722.09
273,1417.75,347.81,10699.39
274,1400.49,344.57,10559.12
275,1444.98,375.2,10697.75
276,1422.24,364.25,10579.97
277,1407.19,341.74,10654.55
278,1372.75,318.17,10545.81
279,1411.11,332.9,10782.15
280,1456.17,373.16,10830.03
281,1379.29,300.01,10792.73
282,1468.33,384.91,10834.16
283,1388.97,301.68,10872.95
284,1369.45,316.8,10526.57
285,1448.97,403.32,10456.51
286,1462.27,376.26,10860.08
287,1438.13,355.79,10823.36
288,1393.51,326.3,10672.11
289,1436.01,359.43,10765.79
290,1362.93,295.86,10670.63
291,1405.96,328.41,10775.55
292,1392.44,329.17,10632.62
293,1422.71,358.39,10643.18
294,1335.35,289.58,10457.75
295,1390.27,345.14,10451.24
296,1431.48,370.14,10613.38
297,1455.19,377.85,10773.38
298,1412.8,318.02,10947.81
299,1419.76,348.04,10717.2
300,1400.13,333.25,10668.83
301,1371.69,314.56,10571.28
302,1409.93,334.03,10759.01
303,1345.99,280.91,10650.77
304,1349.41,294.23,10551.85
305,1416.66,359.73,10569.24
306,1404.53,341.34,10631.84
307,1410.63,349.06,10615.72
308,1375.52,308.8,10667.25
309,1418.75,346.37,10723.75
310,1360.57,297.7,10628.74
311,1421.86,355.54,10663.19
312,1412.87,328.31,10845.65
313,1332.8,276.76,10560.44
314,1421.0,344.39,10766.06
315,1366.72,302.21,10645.15
316,1425.8,354.37,10714.3
317,1366.33,280.8,10855.36
318,1387.14,323.15,10639.97
319,1394.77,337.25,10575.24
320,1391.12,322.66,10684.56
321,1373.16,321.79,10513.72
322,1367.38,324.72,10426.61
323,1383.9,331.08,10528.26
324,1371.14,308.98,10621.62
325,1379.46,320.62,10588.39
326,1362.05,301.35,10606.97
327,1424.23,348.89,10753.38
328,1435.78,347.2,10885.84
329,1358.38,291.98,10663.97
330,1403.68,328.68,10750.06
331,1315.51,274.72,10407.96
332,1329.97,292.68,10372.9
333,1414.21,346.53,10676.8
334,1369.05,310.79,10582.59
335,1362.77,304.9,10578.7
336,1464.89,371.47,10934.23
337,1394.32,317.82,10764.97
338,1401.63,328.54,10730.94
339,1356.04,280.04,10759.92
340,1356.02,298.27,10577.48
341,1345.17,292.6,10525.77
342,1371.03,307.17,10638.52
343,1340.8,281.12,10596.83
344,1394.04,327.92,10661.2
345,1367.68,297.82,10698.58
346,1330.65,279.99,10506.55
347,1399.19,347.26,10519.39
348,1390.56,316.61,10739.54
349,1372.58,296.37,10762.18
350,1350.46,287.88,10625.76
351,1370.34,310.92,10594.17
352,1322.9,272.43,10504.76
353,1400.56,356.9,10436.64
354,1412.15,337.87,10742.81
355,1320.27,250.55,10697.18
356,1359.01,306.41,10525.99
357,1347.1,282.49,10646.07
358,1336.33,287.15,10491.8
359,1353.9,318.27,10356.37
360,1343.14,302.41,10407.33
361,1368.9,312.19,10567.04
362,1335.88,276.77,10591.16
363,1385.53,312.85,10726.83
364,1414.73,332.35,10823.74
365,1323.13,261.69,10614.38
366,1365.72,309.26,10564.56
367,1405.47,342.07,10634.08
368,1371.87,318.65,10532.22
369,1341.39,286.54,10548.51
370,1320.05,278.5,10415.52
371,1335.63,291.09,10445.43
372,1334.93,310.08,10248.52
373,1392.21,345.71,10464.95
374,1356.07,296.43,10596.36
375,1370.69,317.0,10536.95
376,1325.47,264.36,10611.1
377,1324.08,280.46,10436.18
378,1387.33,325.12,10622.17
379,1266.77,229.26,10375.17
380,1273.67,268.45,10052.23
381,1400.9,375.42,10254.73
382,1321.68,279.45,10422.3
383,1383.9,345.54,10383.64
384,1371.71,302.22,10694.94
385,1424.09,352.76,10713.34
386,1336.72,269.66,10670.59
387,1430.3,357.46,10728.34
388,1371.87,318.56,10533.12
389,1377.35,316.04,10613.05
390,1328.48,276.35,10521.3
391,1355.14,296.27,10588.68
392,1379.48,321.12,10583.59
393,1301.37,248.35,10530.22
394,1287.95,258.85,10290.97
395,1302.72,271.56,10311.57
396,1370.47,322.66,10478.05
397,1329.02,276.58,10524.46
398,1354.16,310.23,10439.33
399,1423.17,368.54,10546.29
400,1340.35,287.53,10528.2
401,1352.88,294.58,10582.99
402,1316.52,272.58,10439.46
403,1442.67,366.16,10765.1
404,1372.75,294.78,10779.63
405,1295.03,236.06,10589.65
406,1323.14,276.5,10466.41
407,1307.78,261.23,10465.56
408,1369.24,307.52,10617.24
409,1326.17,275.75,10504.17
410,1339.29,313.82,10254.62
411,1348.71,295.14,10535.68
412,1324.61,277.79,10468.22
413,1380.81,336.41,10444.0
414,1406.27,331.05,10752.26
415,1349.27,276.39,10728.83
416,1387.41,310.91,10765.04
417,1339.29,279.42,10598.66
418,1314.98,261.72,10532.57
419,1342.01,281.96,10600.54
420,1362.45,310.25,10522.05
421,1341.24,264.24,10769.98
422,1296.57,245.88,10506.98
423,1366.83,309.66,10571.78
424,1377.89,311.88,10660.14
425,1334.47,296.56,10379.11
426,1415.64,355.58,10600.61
427,1370.5,289.07,10814.22
428,1302.23,237.12,10651.16
429,1340.43,290.02,10504.07
430,1302.16,259.29,10428.66
431,1346.17,278.61,10675.66
432,1337.86,283.21,10546.51
433,1368.49,303.07,10654.16
434,1333.81,279.51,10542.93
435,1449.87,359.95,10899.16
436,1315.14,246.73,10684.12
437,1351.87,291.66,10602.11
438,1346.92,273.4,10735.26
439,1323.82,271.24,10525.76
440,1338.2,297.91,10402.92
441,1341.11,289.78,10513.37
442,1307.79,250.63,10571.58
443,1395.85,329.18,10666.73
444,1351.2,283.29,10679.14
445,1310.75,258.43,10523.19
446,1329.44,279.07,10503.69
447,1340.95,279.69,10612.67
448,1308.86,262.27,10465.93
449,1283.04,251.14,10318.96
450,1316.97,289.48,10274.93
451,1403.66,335.72,10679.45
452,1291.96,237.94,10540.21
453,1305.59,257.91,10476.8
454,1313.23,265.01,10482.26
455,1325.35,269.31,10560.34
456,1317.46,271.11,10463.46
457,1306.97,262.36,10446.1
458,1309.09,266.3,10427.87
459,1315.61,267.51,10481.02
460,1349.33,298.38,10509.51
461,1347.16,283.04,10641.23
462,1380.01,318.66,10613.52
463,1345.73,278.23,10674.94
464,1332.8,279.66,10531.34
465,1328.13,279.42,10487.1
466,1335.73,278.27,10574.62
467,1340.62,264.34,10762.74
468,1283.28,235.55,10477.29
469,1296.42,255.37,10410.45
470,1369.88,314.44,10554.44
471,1341.09,283.51,10575.81
472,1402.13,328.25,10738.74
473,1303.83,242.64,10611.88
474,1287.45,252.46,10349.86
475,1340.67,300.6,10400.77
476,1383.73,320.34,10633.86
477,1375.46,300.55,10749.19
478,1320.94,264.89,10560.51
479,1349.71,294.49,10552.18
480,1322.21,282.18,10400.32
481,1329.06,285.15,10439.1
482,1322.59,276.82,10457.68
483,1300.31,272.55,10277.63
484,1322.21,278.14,10440.67
485,1295.31,253.1,10422.14
486,1343.82,293.74,10500.77
487,1293.87,239.68,10541.92
488,1318.65,268.75,10498.93
489,1304.83,276.05,10287.84
490,1299.96,269.56,10304.02
491,1334.77,299.65,10351.17
492,1283.78,246.91,10368.75
493,1310.91,274.21,10367.03
494,1369.21,300.94,10682.68
495,1288.67,226.19,10624.79
496,1356.8,295.92,10608.79
497,1281.09,232.53,10485.6
498,1304.79,266.49,10383.03
499,1333.46,290.47,10429.88
500,1357.46,298.96,10584.92
501,1312.49,257.32,10551.68
502,1336.02,274.6,10614.22
503,1310.93,263.13,10478.02
504,1282.07,235.11,10469.68
505,1301.31,259.97,10413.35
506,1263.4,241.35,10220.5
507,1289.7,284.01,10056.92
508,1284.39,266.26,10181.24
509,1335.42,292.18,10432.4
510,1308.76,260.37,10483.86
