epoch,total_loss,recon_loss,kl_loss,music_loss
1,91.72,51.47,323.79,7.87
2,111.59,71.65,321.85,7.76
3,116.68,76.93,324.3,7.33
4,89.69,48.83,334.98,7.36
5,90.71,49.74,339.23,7.05
6,89.84,49.28,335.55,7.01
7,87.16,46.57,334.99,7.09
8,96.99,56.18,336.01,7.21
9,79.82,39.42,333.46,7.06
10,118.28,77.98,330.15,7.29
11,118.16,78.28,327.8,7.11
12,88.1,48.14,325.15,7.44
13,85.47,45.54,325.87,7.34
14,103.9,63.72,325.6,7.61
15,97.85,58.19,325.27,7.13
16,97.28,57.32,329.34,7.03
17,96.67,56.18,329.85,7.5
18,82.13,42.37,327.25,7.03
19,86.29,46.92,322.27,7.14
20,105.96,67.28,317.87,6.9
21,91.56,51.84,320.66,7.66
22,81.93,42.15,324.8,7.3
23,85.36,45.4,327.13,7.24
24,79.35,39.22,328.04,7.33
25,84.77,44.96,326.0,7.21
26,88.69,48.9,323.92,7.4
27,86.47,46.73,321.3,7.61
28,96.29,57.07,319.47,7.28
29,109.97,69.53,331.77,7.27
30,128.58,87.5,339.18,7.16
31,89.95,49.29,336.62,7.0
32,98.26,56.86,333.08,8.09
33,105.74,65.56,332.34,6.94
34,91.45,50.56,335.23,7.37
35,82.96,41.83,336.86,7.44
36,91.03,50.59,334.01,7.04
37,106.79,66.55,331.01,7.13
38,92.7,51.5,338.13,7.38
39,85.84,44.73,339.32,7.18
40,84.97,44.37,336.59,6.94
41,89.45,48.86,332.11,7.38
42,89.49,49.51,328.06,7.17
43,95.74,55.81,324.54,7.47
44,80.67,40.77,323.08,7.58
45,101.89,62.46,320.32,7.4
46,91.32,51.73,321.43,7.45
47,80.75,41.65,319.77,7.13
48,90.86,51.84,316.83,7.34
49,92.66,53.85,313.13,7.5
50,83.53,44.92,312.54,7.35
51,89.93,51.05,314.82,7.4
52,85.13,46.6,314.32,7.09
53,130.58,91.59,317.09,7.28
54,82.05,42.82,316.62,7.57
55,95.41,56.29,313.65,7.75
56,90.78,52.24,310.79,7.46
57,96.58,58.04,313.46,7.19
58,141.61,102.11,317.33,7.77
59,76.68,37.4,319.36,7.34
60,80.15,41.34,315.88,7.22
61,83.58,45.36,311.0,7.13
62,108.59,70.39,310.05,7.2
63,100.27,61.18,319.16,7.17
64,85.62,45.73,323.52,7.54
65,89.72,50.26,321.22,7.34
66,97.08,57.39,322.05,7.48
67,83.12,43.59,322.13,7.32
68,105.09,65.52,320.08,7.57
69,98.23,58.68,322.56,7.3
70,82.22,41.99,329.19,7.32
